,,,,"Gembok Majesty 40 mm","6 Pcs","15.000 / Pcs","90,000"
,,,,"Kapur Ajaib Bagus","2 Box","15.000 / Box","30,000"
,"01-01-0051","Bengkel Paparisa","Jl.H.R Koroh - Sikumana","Gunting M2000 Besar Hitam","12 Pcs","9.500 / Pcs","114,000"
,,,,"Ballpoint Milton S-121","1 Box","12.500 / Box","12,500"
,,,,"Lampu LED Emergency Flashycom - 5 Watt","2 Pcs","65.000 / Pcs","130,000"
,,,,"lampu led stark 13 - watt","6 Pcs","75.000 / Pcs","450,000"
,,,,"Steker Bulat","6 Pcs","6.000 / Pcs","36,000"
,,,,"Sikat Gigi Premier Twin Plus","1 Lusin","120.000 / Lusin","120,000"
,,,,"Terminal Polos 3 Lubang Tanpa Kabel","3 Pcs","17.500 / Pcs","52,500"
,,,,"Kain Pel Besar Dynamic","3 Pcs","22.500 / Pcs","67,500"
"23-01-2021","01-01-0052","Ks.Three - F","Jl.Jendral Sudirman - Kuanino","Lakban Cokelat OPP","6 Pcs","10.500 / Pcs","63,000"
,,,,"Terminal Polos Sunfree 3 Lubang 5 Meter","3 Pcs","27.500 / Pcs","82,500"
,,,,"Terminal Polos Sunfree 4 Lubang 1,5 Meter","3 Pcs","22.000 / Pcs","66,000"
,,,,"Terminal Polos Sunfree 4 Lubang 5 Meter","3 Pcs","28.500 / Pcs","85,500"
,,,,"sapu panjang karet - dynamic","3 Pcs","23.500 / Pcs","70,500"
,"01-01-0053","Tiara Mart","Jl.Piet A.Tallo - Liliba","Raket Nyamuk Sentosa","6 Pcs","47.500 / Pcs","285,000"
,,,,"Raket Nyamuk Sivicom","6 Pcs","57.500 / Pcs","345,000"
,"01-01-0054","Ks.Amin","Depan IndoSablon - Belakang Pasar Oebobo","Cottonbuds Cici Dewasa 045","2 Lusin","24.000 / Lusin","48,000"
